CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL467451	472354	CHEMBL467451	472354		38	334.4	2.79	74.6	0	CCCCCCCCCCS(=O)(=O)CC(O)(O)C(F)(F)F	2267234	Ki	=	.302	nM	9.52	pKi	=	9.52				0				560263	CHEMBL1019602	B	Inhibition of human carboxylesterase 1 after 24 hrs	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	45052	CHEMBL1139338	19062296	Bioorg. Med. Chem.	2009	17	1	149					
CHEMBL463556	472351	CHEMBL463556	472351		34	346.46	3.9	57.53	0	CCCCCCCCCCCC[S+]([O-])CC(O)(O)C(F)(F)F	2267238	Ki	=	.3981	nM	9.4	pKi	=	9.4				0				560263	CHEMBL1019602	B	Inhibition of human carboxylesterase 1 after 24 hrs	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	45052	CHEMBL1139338	19062296	Bioorg. Med. Chem.	2009	17	1	149					
CHEMBL1812856	1167883	CHEMBL1812856	1167883		12	198.31	3.29	34.14	0	CCCCCC(=O)C(=O)CCCCC	6317238	Ki	=	3	nM	8.52	Ki	=	3	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	762141	CHEMBL1816212	B	Inhibition of human liver carboxylesterase1 using o-nitrophenyl acetate as substrate after 5 mins by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	58561	CHEMBL1811796	21733699	Bioorg. Med. Chem.	2011	19	15	4635					
CHEMBL510996	472504	CHEMBL510996	472504		49	266.28	2.21	40.46	0	OC(O)(CSCCc1ccccc1)C(F)(F)F	2267223	Ki	=	6.026	nM	8.22	pKi	=	8.22				0				560263	CHEMBL1019602	B	Inhibition of human carboxylesterase 1 after 24 hrs	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	45052	CHEMBL1139338	19062296	Bioorg. Med. Chem.	2009	17	1	149					
CHEMBL192592	318799	CHEMBL192592	318799		7 (5,5'-dibromo-2,2'-thenil)	380.08	4.4	34.14	0	Brc1ccc(s1)C(=O)C(=O)c2ccc(Br)s2	1494163	Ki	=	7	nM	8.15	Ki	=	7	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303802	CHEMBL829851	B	Inhibition constant against human liver carboxylesterase (hCE1) expressed in Sf21 cells using 3 mM o-NPA	1	Scientific Literature	Oryctolagus cuniculus		9986	Expert	BAO_0000219	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	8	Homologous protein			21424	CHEMBL1141162	16107154	J. Med. Chem.	2005	48	17	5543					
CHEMBL270375	438352	CHEMBL270375	438352		33	312.44	5.77	17.07	1	CCCCCCCCCCCCSCC(=O)C(F)(F)F	2267239	Ki	=	7.413	nM	8.13	pKi	=	8.13				0				560263	CHEMBL1019602	B	Inhibition of human carboxylesterase 1 after 24 hrs	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	45052	CHEMBL1139338	19062296	Bioorg. Med. Chem.	2009	17	1	149					
CHEMBL117447	194819	CHEMBL117447	194819	PHENYL ISATIN	Table 1, R5C1	223.23	2.55	37.38	0	O=C1N(c2ccccc2)c3ccccc3C1=O	12703873	Ki	=	23	nM	7.64	Ki	=	23	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	944083	CHEMBL2341916	B	Inhibition of human CE1 using o-NPA as substrate by spectrophotometric assay	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	72391	CHEMBL2331201	23286284	J. Nat. Prod.	2013	76	1	36					
CHEMBL189886	318383	CHEMBL189886	318383	BENZIL	benzil	210.23	2.75	34.14	0	O=C(C(=O)c1ccccc1)c2ccccc2	12703877	Ki	=	45	nM	7.35	Ki	=	45	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	944083	CHEMBL2341916	B	Inhibition of human CE1 using o-NPA as substrate by spectrophotometric assay	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	72391	CHEMBL2331201	23286284	J. Nat. Prod.	2013	76	1	36					
CHEMBL189886	318383	CHEMBL189886	318383	BENZIL	2 (Benzil)	210.23	2.75	34.14	0	O=C(C(=O)c1ccccc1)c2ccccc2	1494033	Ki	=	45.1	nM	7.35	Ki	=	45.1	nM			1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303802	CHEMBL829851	B	Inhibition constant against human liver carboxylesterase (hCE1) expressed in Sf21 cells using 3 mM o-NPA	1	Scientific Literature	Oryctolagus cuniculus		9986	Expert	BAO_0000219	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	8	Homologous protein			21424	CHEMBL1141162	16107154	J. Med. Chem.	2005	48	17	5543					
CHEMBL192180	320766	CHEMBL192180	320766		15	244.68	3.41	34.14	0	Clc1ccc(cc1)C(=O)C(=O)c2ccccc2	1503542	Ki	=	47.4	nM	7.32	Ki	=	47.4	nM			1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303157	CHEMBL829130	B	Inhibition constant against human liver carboxylesterase 1 using o-NPA (nitrophenyl acetate)	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
